"In stock", "في المخزن"
"Out of stock", "إنتهى من المخزن"
"and", "و"
"save", "حفظ"
"Coupon code was canceled.", "تم إلغاء رمز القسيمة."
"The requested quantity is not available", "الكمية المطلوبة غير متوفرة"
"The requested quantity of ", " الكمية المطلوبة من"
" is not available", " غير متاح"
"Unable to add product to cart.", "غير قادر على إضافة منتج إلى سلة التسوق."
"Can't add the item to shopping cart.", "لا يمكن إضافة هذا البند إلى عربة التسوق."
"Customer Address is not valid.", "عنوان العميل غير صالح."
"This email already exist.", "هذا البريد الإلكتروني موجودة بالفعل."
"Invalid Billing data.", "بيانات الفواتير غير صالحة."
"Invalid shipping method.", "طريقة الشحن غير صالح."
"Invalid Shipping data.", "بيانات النقل البحري غير صالحة."
"Guest Checkout is not Enabled", "لم يتم تمكين الضيوف الخروج"
"This account is not confirmed.", "لم يتم تأكيد هذا الحساب."
"Invalid login or password.", "معلومات الدخول خاطئة او كلمة المرور خاطئة."
"Invalid email address.", "عنوان البريد الإلكتروني غير صالح."
"There is already an account with this email address.", "وهناك بالفعل حساب مع عنوان البريد الإلكتروني هذا."
"Your Account has been successfully created", "لقد تم إنشاء حسابك بنجاح"
"Please enter your email.", "يرجى إدخال البريد الإلكتروني الخاص بك."
"Invalid current password", "كلمة المرور الحالية غير صالحة"
"The account information has been saved.", "تم حفظ معلومات الحساب."
"You are currently subscribed to 'General Subscription'.", "أنت مشترك حاليا إلى 'الاشتراك عامة'."
"You are currently not subscribed to any newsletter.", "تقوم حاليا بعدم الاشتراك في أي نشرة."
"You have not set a default billing address.", "هل يتم تعيين عنوان الفواتير الافتراضية."
"You have not set a default shipping address.", "هل يتم تعيين عنوان الشحن الافتراضي."
"You have no additional address.", "لا يوجد لديك عنوان إضافي."
"Can't delete item from wishlist", "لا يمكن حذف عنصر من سلة"
"Can't update wishlist", "لا يمكن تحديث مفضلة"
"Wishlist updated successfully", "مفضلة تجديد بنجاح"
"Sorry This Order Does not Exist!!", "آسف هذا الأمر غير موجود !!"
"Unlimited", "غير محدود"
"Requested link does not exist.", "غير موجود الرابط المطلوب."
"An error occurred while getting the requested content. Please contact the store owner.", "حدث خطأ أثناء الحصول على المحتوى المطلوب. الرجاء الاتصال بصاحب الدكان."
"The link has expired.", "انتهت صلاحية الرابط."
"No shipping information available", "أي معلومات الشحن المتاحة"
"Subtotal", "حاصل الجمع"
"Shipping & Handling", "شحن وتسليم"
"Discount", "خصم"
"Tax", "ضريبة"
"Grand Total", "المبلغ الإجمالي"
"Grand Total to be Charged", "إجمالي الكبرى التي ستحمل"
"Product(s) Has been Added to cart.", "المنتج (ق) قد أضيفت إلى العربة."
"Following Products", "المنتجات التالية"
"can't be added to cart as they are Out Of Stock", "لا يمكن إضافة إلى السلة لأنها هي من المخزون"
"Can't add the item to shopping cart.", "لا يمكن إضافة هذا البند إلى عربة التسوق."
"Your review has been accepted for moderation.", "وقد تم قبول رأيك عن الاعتدال."
"The subscription has been saved.", "تم حفظ الاشتراك."
"The subscription has been removed.", "تمت إزالة الاشتراك."
"An error occurred while deleting the item from wishlist.", "حدث خطأ أثناء حذف هذا البند من مفضلة."
"Item successfully deleted from wishlist.", "البند بنجاح حذف من سلة."
"The address has been saved.", "تم حفظ العنوان."
"The address has been deleted.", "تم حذف عنوان."
"Please enter a valid email address.", "رجاء قم بإدخال بريد الكتروني صحيح."
"Sorry, but administrator denied subscription for guests.", "آسف، ولكن المسؤول نفى الاشتراك للضيوف."
"This email address is already assigned to another user.", "يتم تعيين عنوان البريد الإلكتروني هذا بالفعل إلى مستخدم آخر."
"Confirmation request has been sent.", "تم إرسال طلب تأكيد."
"Thank you for your subscription.", "شكرا لاشتراكك."
"Session Id Expired", "الدورة رقم منتهية الصلاحية"
"Invalid Request", "طلب غير صالح"
"Product(s) has successfully moved to cart.", "المنتج (ق) انتقلت بنجاح إلى السلة."
"successfully generated hash","ولدت بنجاح التجزئة"
"Order Status Changed!!","تم تغيير حالة الطلب !!"
"pending","pending"
"expired","expired"
"cancel","cancel"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Create Invoice","Create Invoice"
"Are you sure you want to create invoice?","Are you sure you want to create invoice?"
"You are now Loggedin","You are now Loggedin"
